,Verification Status,review,sentiment
377,Trip Verified,for this hour min flight you are given a bag of potato chips and a bottle of water if you want to purchase more food and drink you do this via their app on your phone or like me you can preorder weeks before you fly however there is no guarantee you will get your order mine never came so after enquiring where the order was they told me they had food for someone who was not on the plane that someone was me it turned out they also managed to lose my luggage i am still waiting for them to contact me regarding it i will never use them again,positive
378,Trip Verified,my wife and i booked a flight in april that included a return trip from edinburgh thru london to washington when we checked in at edinburgh airport hours ahead of time we were informed there were no more seats available on our scheduled flight we asked how this was possible and were simply told that others had checked in online which we hadn t done we were instructed to come back in hrs and mins still with our luggage unchecked and not yet going thru security to see if we could get on the flight via standby we waited and then finally at pm mins before our scheduled pm flight we were told we could be on the flight and were given boarding passes for the flight to london but no boarding passes for the connecting flight mins after arrival time our luggage was not checked thru to washington but only to london we were told we d get thru security on time to make the flight and it was suggested that staff would assist us when we got to security check area the line was massively long we questioned a ba staff member who said we had to get in line like the others we decided to pay pounds to go through fast track security to make our flight we got to the gate in time yet due to a delayed departure caused in part by luggagespace issues on the plane our flight arrived in london mns late and after going to the flight connections we were told mins before the scheduled departure with a vague explanation of there isn t enough time that we could not be given a boarding pass for our flight we were then directed to baggage claim to retrieve our luggage and then proceed to the checkin area to be rebooked for a later flight when we got to the checkin counter area a ba staff person standing at entrance to the checkin line advised us we should try to call our travel agency to rebook because the line for checking in had not hardly moved in hrs when we finally got thru on the phone we were informed that the best ba could do for us was to get us on a flight days later and then not to our original destination iad but to baltimore i was not told or assured i d be compensated for this extreme expense of staying more days in a hotel just that i could go to the ba website and make a claim online this ugly experience still ongoing has ruined our trip to the uk,positive
381,Trip Verified,three flights london to reykjavik return and frankfurt to london generally the flights were of an acceptable standard though the seats and legroom are quite tight for a threehour flight the cabin crews were efficient and generally friendly a big plus for ba was informative announcements from the cockpit often missing on other airlines flights operated generally close to the advertised times but ba was let down by chaotic checkin and boarding procedures in preparation for each flight the number of checkin staff was one or at most two in frankfurt the lone checkin agent was also checking in business class passengers why are economy class passengers boarded from the front and not from the back this was standard across the three flights but slowed down the boarding process immensely as people seated further back tried to get past forward seated passengers stowing their enormous cabin baggage it would make much more sense to board people at the back first and to enforce baggage rules so that cabin crew are not wandering up and down the cabin trying to find overhead space for the hapless passengers who boarded last the small bottle of water and a halffull bag of crisps offered as a snack on a threehour flight to iceland was just tokenism and compared badly with what air france offered on a subsequent short flight to paris at reykjavik there was no departure lounge next to the gate passengers had to queue wherever they could in the corridor,negative
382,Trip Verified,routine typical ba domestic shuttle flight nothing special departure five minutes early but no one to greet flight upon arrival hence a minute delay crew were attentive and charming usual clean cut ba product that when it works well is fine,positive
383,Trip Verified,over week ago i cancelled club europe flights due to testing positive for covid the day before they were booked many months ago and eligible for the travel voucher so i opted for this online since then absolute silence and ba pages state it might take up to a week previous vouchers have been received within a few hours of cancellation as a very loyal ba customer for more than years i am appalled at the absolute state of chaos that the airline now portrays with a further bookings with ba planned for the rest of i have to admit that travelling with them ex lhr has now become an absolute nightmare,positive
385,Trip Verified,check in and security at lhr efficient went to galleries north which was busy but fine with good service left from b gates efficient boarding with welcome drinks and menus this was my first time on the club suite travelling with children ba moved our seated but we were all seated near to each other and they apologised for this at check in it was a full flight in all cabins so staff busy i liked the new suite which felt superior to the old club world product the entertainment was excellent and the screen large and well positioned the menu was quite limited but the quality was reasonable prior to covid one could pre order mains in club which might be worth bringing back as it happened we all ordered and were able to have the beef dish but i doubt my children would have liked the vegetarian korma had they run out the club kitchen ran out of food quite quickly it was a long flight so this was not surprising but my children were quite hungry as a result part of this was the result of other passengers from other cabins taking food from it the second meal was fine and the cabin service director did source an alternative meal for my children from economy which i thought was quite good on time arrival prompt disembarkation and bags off quickly we don t tend to have a good track record with bag delivery so this was a pleasant surprise overall a good flight,positive
386,Trip Verified,washington to london our flight was unexpectedly cancelled my husband spent hours on the phone in the middle of the night to try and rebook our flight we were told by the customer service representative that we should just cancel our trip after spending thousands in lodging tickets tours etc when we finally rebooked we still lost one day one day of lodging and tickets to a show we tried to at least get another day on the end of our trip but no one could help us no one cared that our family vacation was totally altered and cost us a bunch of money we are so disappointed and angry with the customer service here,negative
391,Trip Verified,departure was about minutes late the a we flew on was about eighteen months old the seating spacing in economy class seems very tight and if the seat in front is fully tilted back it is a real challenge to get out of the seat the screen becomes so close to your face it becomes difficult to focus on the screen audio was so poor due to music drowning the conversation i gave up trying to watch the cabin crew seemed to really struggle with service it felt very disorganised felt sorry for the cabin crew they seemed to be working hard and there seems to be a lot of up and down the aisles on this type of aircraft felt unnatural the overhead bins are very high and many passengers had difficulty accessing their belongings during the flight i tried using the overhead attendant light to verify my wifes meal but no one responds better to stop a flight attendant in the aisle nice aircraft for a two hour flight but no fun for close to eleven hours i am going to explore other options before using ba again the hassle to make contact with anybody before the flight puts you off before you even go to the airport,positive
398,Trip Verified,ba cancelled my flight i never got on it couldnt book another and refunded about a quarter of what i spent despite their covid guarantees i was booked onto a flight with ba for april th from hong kong to london they cancelled the flight so i looked at rebooking for a later date covid ticketing flexibility assurances couldnt find a flight up to and including october so i opted for the refund thinking id get a full refund i was refunded about of what i paid i called their service centre for an explanation as i couldnt fathom how they could cancel the flight not have any other flights available and i didnt get a full refund each phone call takes about minutes before you get to talk to customer service and thats where the frustration begins the customer service people were adamant that a full refund should be given and asked me to wait while they escalate the case a month later and about phone calls later thats hours waiting on the phone they finally refunded me a little more in total less than of what i paid it would seem to get a refund in increments i would have had to call their customer service for them to take me round in circles until i got frustrated and give up so instead of calling i enquired about this via their website just for an answer as to why i wasnt getting a full refund i didnt cancel my booking neither was it my fault they decided to stop flight to hk after another month of waiting this is the reason they gave in an email thanks for contacting us about your claim for eu compensation were sorry it was necessary to cancel your flight to heathrow on april your claims been refused because ba was cancelled because of non payable commercial reason further to your request i would advise to kindly get in touch with our customer support team to know the status of the refund as the same is looked after by our support team we take all reasonable measures to avoid disruption to a flight and we always consider if there are any other alternative solutions before we make a decision the cancellation was out of our control and caused unforeseen disruption to our schedule thanks again for following this up with us please feel free to contact us if we can help you any further and i hope we have the chance to welcome you on board again soon best regards british airways customer relations i dont know what non payable commercial reason is i am out about sterling going to just leave it their and boycott this company,positive
399,Trip Verified,belfast to london on jun i was informed at about flight ba has been delayed to will only reach london heathrow at i reached the airport at but ba counter was only open at at checkin counter i approached ba ground staff for advice as i have a connecting singapore airlines flight at on the same day the reply was it is the customer s responsibility to contact the airline there s nothing we can do i was given a card with contact info on ba customer service and sales for the next hrs in the airport i have been trying to contact ba but was told that hotline only operates from i have to called another number for urgent cases which ever number i dial i just couldn t get to speak to any one till again i was told that there s nothing they could do because my connecting flight is singapore airlines onboard the aircraft when i approached for help with my luggage to be placed to the compartment i was told that it s the customer s responsibility to do it on their own i would think twice to take ba in the future,positive
401,Trip Verified,ba is still charging premium airlines fares however delivering nothing better than what a low cost offers seat does not recline legroom is minimal causing anyone taller than m a torture to fly as being in a sardine can good old times of being a glamour flying ba has far gone ground force almost reduced to only a very cheap pack of crispy and water the only positive side is the cabin crew always there for you and happy or well pretending at least for the price they charge i advise every passenger to fly any other low cost airline as an alternative you pay extra for absolutely nothing,positive
402,Trip Verified,this a new route which ba introduced at the beginning of june after several years of covid related delays the business class experience was i fear typical of the nickel dime policies introduced by the airline over the past decade plus helpful and friendly fa minuses the cabin was fairly cramped with six seats across each pod had surprisingly little room with only very limited storage space it was hard to adjust the seat particularly getting it to lie flat even the fa found it difficult the inflight entertainment was very limited with a poor choice of films tv programmes and music the food choice and quality was poor one of the three mains was unavailable and my pea and mushroom risotto was almost inedible the cheese selection was also poor i dont know what the business class offerings from bas rivals flying similar routes are like but the experience does not match up to that provided by singapore airlines on their flights to the far east and australasia,negative
403,Trip Verified,as a regular ba customer on european flights it is sad but true to note that standards continue to slip particularly ground service at lhr and the atrocious handling of delays staff at the entrance to the first wing was brusque to put it mildly rude to be accurate flight boarded at for a departure mins later late customers were allowed to board and not a single pa or apology from the flight deck or crew the benefit of low cost airlines is they they dont hang around for latecomers sadly ba is in a time warp over this ba pilots used to be some of the best for updating status but this has dropped dramatically in the last years the food standards and choices in the t first lounge are one of the items that have been improved post covid inflight service on this short h m flight was a light dinner tray only choices by row with passengers in club europe only salad options were available no printed menu offered and the cabin staff explained he had only been given menus for customers it appears there is no supply control in place at ba food quality was okay but while doco supply this the doco meals on turkish airlines remain superior to what ba manages i flew turkish days ago staff service was perfunctory but no attempt to interact with any customers in club europe cabin i end where i started ba standards continue to slip,positive
406,Trip Verified,the a is a wonderful aircraft quieter than any other aircraft ive flown flight was delayed arriving at vancouver from london which meant that departing flight from vancouver was also delayed passengers waited almost minutes at london terminal for baggage to arrive excuse given by ba ground staff was that the baggage staff are very busy right now and our baggage will arrive soon onboard amenities and services quite disappointing seat was reasonably spacious but did not offer sufficient back support meal sizes and portions considerably smaller than when i last flown with ba a tiny ham and cheese croissant for breakfast cabin crew noticeably absent from cabin during flight no offer of water juice or other beverages during the flight overall a fairly disappointing experience with ba,positive
407,Trip Verified,lhr to sfo in new club suite rather chaotic embarkation despite small number of passengers pushback delayed by lack of tug club suite seats k k a huge improvement over previous cw product with excellent ife and a good range of movies cabin crew attentive and efficient food adequate and still served on the same tray arrival more or less on time but delayed by lack of marshal to guide plane to the air bridge long queue to get through immigration,positive
408,Trip Verified,covid form is broken called customer service twice on different times and they hung up due to being too busy to pick up the phone hour flight delay was first in the queue and had to hand in my hand luggage due to there being not enough room which was untrue as most storage compartments where empty when i entered the plane i explained that i really can not afford to wait on my luggage as i have hours drive left after i arrive at the airport in short totally not customer friendly will try to avoid flying next time with ba,positive
411,Trip Verified,worst airline experience ever flew people business class check in was a disaster the claimed i had exchanged tickets after hours at the ticket counter we were given boarding passes we were group but the delay caused us to board much later the connecting flight was cancelled leading to a day long layover with children including an infant the ultimate connecting flight was also hours late then they lost our luggage days later they still dont have our luggage calling the helpline for lost luggage results in a minute to hour hold after which you are disconnected without speaking to anyone this airline is a complete disaster please do not fly them,negative
412,Trip Verified,the crew ba on june absolutely made this flight smooth journey with possibly the nicest crew ive ever had rebooking for september we were that impressed,positive
413,Trip Verified,i travelled on the th april with my baby in economy class flight ba and ba i had the pleasure of meeting sarah air stewardess she was absolutely amazing i received great service from her along with other staff but more importantly she went above and beyond it was hard enough travelling with an infant but her assistance throughout the flight was really appreciated she repeatedly asked if i needed anything as i had arham in my lap most of the time she held him whilst i had a cup of tea at the front of the aircraft we had a chat and the service was just amazing it is something i will never forget thank you for being there and for all your support throughout the flight i have worked in aviation but the job you do is remarkable and under appreciated hope you see this,positive
414,Trip Verified,outstanding inflight service from the crew friendly professional and helpful the very best of british even though the departure was delayed due to chaos among ground staff at vancouver it didn t matter the crew made the flight outstanding,positive
415,Trip Verified,recent trip to boston departing lhr t ground staff were absolutely fantastic and made an extra effort to make sure we were prepared for all the covid entry requirements in the us they were really friendly and personable very short queues for bag drop and security i would say it took us minutes from kerbside to lounge which is fantastic considering what is going on in the uk at the moment boarding was very quick and efficient and was completed within minutes seated on the last row of economy i really appreciated the low density layout in economy compared to the abreast seating myself and my colleague strategically booked the aisle seat either side of the centre and were lucky enough to have no one sat between us which really helped considering most of the foot space in these older seats is taken up by the ife box it really helped and would have been significantly less comfortable had we been sat next to each other the cabin crew were excellent well trained and personable they were very visible throughout the flight and proactively offered drinks outside of meal service meal service was very efficient with cabin crew proactively removing trays from people who had finished early something that you very rarely see in economy the food by doco was exceptional i dont think ive eaten so much on a transatlantic flight in economy it will be interesting to compare it on the return flight when its catered by an outstation overall it was a great flight helped by the additional space we had but nonetheless a good performance by ba which totally exceeded my expectations based on the reviews here and elsewhere i would definitely consider flying with them again,positive
417,Trip Verified,as a seasoned traveller and a loyal ba customer i am appalled at the company s recent drop in standards we were booked to fly from zhrlhr on a miles ticket in february when we arrived at check in several hours before our scheduled departure we were informed that we would have to pay for our baggage even though our ticket clearly included free checked baggage we were held at check in for over an hour whilst the check in agent went to consult with her manager who then confirmed that we would have to pay to check in our baggage we have no option but to pay this charge however as a result of this delay at check in arrived at the gate to find that our flight had closed as this was the last flight of the day we were forced to find expensive overnight hotel accommodation i tried contact ba customer services after this incident on numerous occasion however they didn t bothered to respond at the rd attempt after i cc the ceo on my complaint i got a one line response saying that there was no free baggage included with our ticket at this point i got my solicitor to write a letter and they finally agreed to refund my baggage charge however they are refusing to compensate me for the missed flight and the considerable expenses and loss that i incurred as a result of their mistake,positive
419,Trip Verified,flight delays can happen but the way ba handles such incidents in just way beyond our flight was delayed overnight our connecting flight was missed the overall delay resulted in more than hours rechecking our bags took hours standing in line a rebooking to an earlier connection was denied be it online or at the counter will certainly never fly ba again and do not recommend this airline,positive
420,Trip Verified,check in easy at bgi due to us checking flightradar and finding the flight was delayed by nearly hours no notification from the airlines so other passengers arrived earlier easy boarding in sequence numbers seat is a joke for hour flight no leg room on isle seat of the seat in front frame blocks you stretching your legs and once the passenger in front reclines its even worse food is mediocre with poor choice and all of the drink choices had run out before the stewardess had arrived to my seat only choice cocacola water or red wine the connecting flight from lhr man was cancelled with no contact from the airline i only found out trying to book a seat on the return legs with no alternative flight provided we had to privately book a taxi from lhr to manchester for persons as this worked out cheaper than the train the outbound flight was also a farce no mention of terminal change at lhr from to so quick turnaround changing terminals was chaotic and stressful for older relatives travelling with us overall shocking from british airways and can guarantee i will never use them again,negative
423,Trip Verified,we arrived and half hours before our flight the queues to ba was terrible the airport security lines were not managed well the gate was closing as we arrived after jogging to the gate with asthma it was by far the worst travelling experience i have ever had that i have experienced all the airlines should put out a warning that you should arrive at least hours before to have an enjoyable experience amsterdam is the worst airport i have experienced,negative
424,Trip Verified,ba says that tickets are flexible and cancellation is free within hrs that reality is an absolutely miserable alternative hours after booking i need to change my flight i assume i will get a refund like their site says i will that was apparently a lie they actually give me a voucher to request the voucher i have to sign away that i agree to the voucher despite not knowing how much money they will refund me and i might not get it for a week i am panicked so i try calling them of course calling them does nothing the hotline says that they are too busy this happens again and again so i give up submit the request online despite no guarantee of amount or timing luckily it shows up quickly and i rebook then i need to change my booking again i go to request a voucher again this time the voucher code doesnt work on the website when i enter it so here i am needing to rebook with a useless voucher finally i call the executive class phone line which i am not a member of and then eventually pick up and agree to help me they do some thing on their back end and tell me that they will send the information to their booking department who will contact me in hours,negative
426,Trip Verified,when i tried to check in they required a certificate of insurance for covid travel but i did not have it i tried for over hours to get it issued but my bank where i had the travel insurance the department that could issue the certificate was closed it was after a very long time i got a cover letter which the bank sent to me but then to be told i had missed the check in by minutes they would not let me board and i missed the flight so i contacted ba and tried to rebook another departure flight only to be told that because i missed my departing flight my return flight had automatically been cancelled and this was ba policy so then they worked out a new price to book the flights but now the price was i originally paid for the flights i then did a search on google and found flights for flying out with air mauritius and returning with ba on the same flight i was originally supposed to return on unfortunately ba had made me miss days of my holiday i searched for over an hour but could not find anywhere on ba site that i needed the insurance document when i checked in for the mauritius airways flight they did not ask for the insurance document and i had a lovely flight with no issues every time i fly with ba i have a bad experience and i promise i will never fly with them again,positive
427,Trip Verified,another dreadful mediocre experience with ba to malaga this time boarding was by bus and to a remote stand with no aircon then on flight the the wifi was erratic and guests couldn t order food or drinks then the card payment system didn t work so we gave up on ordering finally at malaga we were held up and not allowed to leave the plane as the bags had to come off first in case we caused the plane to go unbalanced really it s all one excuse after another with ba these days,negative
429,Trip Verified,very low standards for club europe there was no cabin divider in the aircraft so no privacy or separate cabin as would be expected aircraft not properly cleaned in athens there was full rubbish bag left in the seat pocket no inflight information as the in flight maps have long disappeared from european routes which is a shame staff was attentive though and tried their best,positive
430,Trip Verified,this flight was not affected by recent problems with ba and i was quite impressed by the british airways premium economy product in a new boeing overall premium economy turned out to be premium and clearly a step up from economy towards business class also the premium economy product came across much better in the boeing than in the old b or even than in the b seat was very comfortable and had nice leg room food service and entertainment options were good clearly worth the extra money for premium economy,positive
433,Trip Verified,amazing flight and comfortable the premium economy seats have been upgraded with a leg rest new aircraft staff very friendly and professional the food was great beyond expectation,positive
434,Trip Verified,i booked a flight to london and paid months in advance to upgrade my seat to an isle side exit row front of the cabin more legroom upon checkin my expensive upgrade had been given away to someone else and i was left to choose a miserable middle seat near the toilet i spent an entire afternoon calling customer service if my call went through at all the automated system simply hangs up when it decides they are too busy i was placed on indefinite hold replete with elevator music and an insincere guarantee that my call mattered i was greeted by someone with a heavy accent over a very low quality hard to hear line i am and not deaf sometimes they would purposely hang up before i said anything other times they would purposely hang up after i stated my plight if i managed to persist through all of that for hours on end they would hang up purposely after needing to put me on hold once more to speak with their supervisor in the end ba managed to swindle me for hundreds of dollars and i booked with another airline on principle,negative
436,Trip Verified,i would like to thank you for the great service i am a handicap and my family and i were afraid of this trip because i was flying alone and had a layover in london of a few hours i had to change terminals and everything but thanks to a great service my trip was amazing they took great care of me and made sure i was doing well throughout the whole flight,positive
437,Trip Verified,i connected into madrid on iberia and wrote a scathing review of their awful long haul business class service british airways short haul business class was in a totally different class the cabin had rows of seats in bc a record for me the staff met us at the door in a very cheerful way and this was a sign of the highly professional way they would continue to look after us throughout the flight the messaging from cabin crew and flight crew was excellent the food was first class nothing was too much for the staff why oh why can two members of the same company offer such different levels of sift and hard service my thought is that it must be ingrained in the ethics of the company british airways keep up the good work it would be better if you had proper business class seats like some of your european competitors overall you made me feel proud to be a brit,positive
439,Trip Verified,i have always chosen to not make a big deal of the poor service delays dirty aircraft over packed lounges cabin crew etc experienced over the years but have lost all patience with this airline having paid almost k extra to change our return flight for the family to get a flight at a specific time ba cancelled this and placed us on another flight almost hours later there was no option to get any of the other available flights the business class lounge at lhr was packed with hardly any space to move the aircraft was filthy with food wrapping papers on my seat and floor the seats were uncomfortable food for business class passengers included bread rolls passed in a basket the poor level of hygiene overcrowding delays cancellations makes this the worst airline i have had to endure,negative
440,Trip Verified,business lounge was closed at pisa airport which was probably beyond the control of british airways but as it had been closed since january the least british airways could have done would have issued their customers who paid for this service vouchers to be used at the airport i complained about this to ba and as compensation they said they would credit my account with avios points which i felt was an adequate compensation and at that point felt ba had handled the situation in a prompt and professional manner however that was seven weeks ago and no avios points have been added to my account i have called their call centre multiple times at one point being put on hold for an hour to put through to the right department when the phone was answered i was told it was the wrong department and to phone a number which was read out to me which was the same number i was calling this scenario has replayed itself probably about twenty times now it is clear that ba have no intention of resolving this and are just making their customer go round in circles before they give up this airline is absolutely appalling in the way it treats its customers,negative
444,Trip Verified,i had an incredible rude check in staff at the british airways counter in nice on th april zero empathy towards me a struggling customer second situation happened when we arrived into nice terminal on ba april where my luggage did not make it on the same flight as me and had to put my details down for delivery when our luggage arrived at nice airport the day after and received an email from the avia partner lost and found british airways partner at pm informing us that our luggage has now arrived in nice after multiple emails back and forth with emphasis on we were strongly expressing that i did not have clothes or shoes to wear and that we only had short days in monaco it was vital we received the luggage asap the lady replied if it is so important why don t you come and pick it up here at the airport or send your driver to pick it up despite the fact that a proper delivery address was supplied to them from the very beginning this has been an appalling experience,positive
445,Trip Verified,we booked a business class flight with qantas from melbourne to glasgow via london as qantas fly to heathrow british airways is their partner airline so we were automatically booked on ba from heathrow to glasgow we booked this flight in october however days before we were due to leave we received an email from british airways advising that our flight from heathrow to glasgow has been cancelled to help us out the email said they had however booked us on another flight leaving from london city airport which is miles from heathrow airport and the flight is going to edinburgh not glasgow not sure how we were supposed to get from glasgow additionally it is in economy not business class even though we had booked business class originally we booked this as one connecting flight so british airways know that we have just travelled hours from australia there was no mention in the email about compensation for the change of class or additional travel costs in getting to another airport nothing about possibly not accepting the flight given it was obviously never going to work for us and no contact details for british airways they also sent the email on good friday so even when i did eventually find a contact number their office was closed i have never experienced such terrible customer service with any airline i have ever flow on and i can guarantee i will never fly british airways again,negative
447,Trip Verified,total chaos for departures immigration at malaga airport boarding was quick polite welcome by cabin crew beverage cart after take off was prompt followed by lunch with a choice of entrees food can best be described as wholesome but not meeting quality levels of air france swiss or lufthansa short haul business class meals menu is still missing and like many other aspects of the experience ba cut a lot during covid and have not reintroduced i wouldnt mind but on european trips in ba are charging up to times the fare levels of and the overall value for money is now very poor the wifi did not work from start to finish of the flight crew said it had worked on the way out and the captain had contacted london to get it fixed on the return ba is becoming more and more shambolic blaming far too much on covid and it is time they took some responsibility for their failings,positive
450,Trip Verified,the short haul flights were the best with the crew on the final leg giving the excellent service that we all hope for we chose out flights very carefully so that we were booked on flights with the club world suits not the ying yang arrangement that they still offer at the last minute the aircraft was changed so we had to put up with the ying yang which really should have been pensioned off ages ago most business class offer across but this layout still squeezes in across as we only take one long haul leisure trip a year in business class we always lose out on the points game but i take exception to having paid in full on a non refundable basis not to be allowed to reserve my seats the points gained from this trip alone would have allowed us bronze status but we were not given this status until after the trip when it is useless to us this status would have allowed us to book the seats days prior to departure when they were still available rather than the hours when they were not available on the long haul return flight i was unable to book a window seat but on boarding after the doors had closed there was a window seat still vacant i asked if i could move and was told by the fa she would check nothing happened but after takeoff a passenger was moved from economy to that seat judging by the interaction between them i would bet it was someone on staff travel i think it disgraceful that a full fare paying passenger should be treated like this takeoff was just after hrs but we were not offered a drinks service before supper but were told we could order a drink that would be delivered on out tray with the meal had we done this our meal would have been cold by the time we ate it in summary would i ever fly with ba again no not if i had half a chance of going with another airline,positive
451,Trip Verified,a very comfortable new suite flight with great service and good food crew was wonderful new seat is great except the shoulder strap is very uncomfortable entertainment great wifi was annoying cutting off and needing constant reconnecting generally a positive experience,positive
452,Trip Verified,british airways is the most terrible airline i ve dealt with they have caused our family extreme stress and disappointment we have tried for a week now to speak to someone as we can t make the changes online they hang up on you every time you call them we have been driven to despair by their treatment of their customers you can t check in online the application sucks so much you re better off trying to code your own app and it ll probably work better every time you try to check in you are taken to a page that says we can t verify your documents yet the app and website say you re verified and ready to go you upgrade and pay for upgrade and it says it s guaranteed and then when you go to check in which you have to go to the airport for because online won t work they give you a different seat than you paid for and a lower class and offer nothing in return i hope i never have the misfortune of getting stuck flying with british airways ever again,positive
453,Trip Verified,british airways is the most terrible airline i ve ever dealt with they have caused our family extreme stress and disappointment we have tried for a week now to speak to someone as we can t make the changes online they hang up on you every time you call them we have been driven to despair by their treatment of their customers i have no choice but to cancel our chance of a life time trip we d booked with our year old boys as they were flying with another airline and would have been alone in japan as ba just cancelled our trip and we can not rebook online as the trip was booked with avios and companion vouchers,negative
456,Trip Verified,very small plane for a busy route service was good but food not so ran out of a lot and options left were not good cabin crew for ba actually really friendly,positive
457,Trip Verified,ba continue to charge a premium for the most disgusting service provided by people who shouldnt be in customer service on tired dirty and cramped aircraft out of flights this year not one has managed to depart or arrive at their destinations ontime including having business class tickets cancelled and an alternative in economy being offered still no refunds months on and had a flight late and missed connection so ba cancelled the rest of my ticket leaving me stranded in the us,negative
458,Trip Verified,flew back on ba bridgetown to heathrow in the old club class a huge disappointment after going out in the new club class suites the end of this awful yin and yang seating cant come soon enough even tried to pay bas extortionate prebooking rate for our seats none left to choose even weeks ahead my wife and i were stuck in the middle seats of e and f good job it was an overnighter so we managed to sleep a bit and not have to climb over our neighbours very often the march film selection so not good not particularly friendly fa who insisted face masks must be worn even though bas policy has changed regarding flying back to a nonmask wearing destination ie london sort it out ba took off minutes late but big tailwind so more than made up the time on a relatively smooth flight dinner not to bad but breakfast fairly dire my wifes smoked salmon bagel was dreadful as usual when ba is good its really good but when its bad its awful i recommend hesitatingly come on ba be great again we pay a lot for premium seats,negative
460,Trip Verified,first the actual flights are fine and the staff on all flights zrhlhr gvalhr lhrzrh first in economy are absolutely fine chatty and friendly they are a credit to the company the infrastructure however is appalling zrhlhr impossible to checkin online and just staff to checkin everyone for flights resulting in mislabelled luggage and an hour delay to sort this out gvalhr hrs late as noone at lhr to tow the aircraft to the gate lhrzrh mins late due to slow gate staff even when you checkin online you have to queue at the airport to get the actual boarding pass there are more examples and for this reason until they sort out their stressed ground staff it is impossible to recommend this airline onboard getting to be onboard,negative
461,Trip Verified,have not flown economy with ba for years what a shock hard uncomfortable seats small aged tv screens with limited inflight entertainment food and service appalling hr plus flight no socks eye shades ear plug amenity pack and no antibacterial wipes offered wifi advertised but not available on flight paid premium money for a budget airline more akin to easy jet ryanair or jetstar my last time travelling with ba after more than years of flying with them ba you really do need to buck up your service and become the flagship service you used to be,negative
462,Trip Verified,flew to barbados march on ba in the new club class suite a huge improvement on the old yin and yang club class which we unfortunately endured on the way back comfortable big tv screen with high quality picture and good headphones plenty of nooks and crannies for storing small items and very private nice friendly fas called by my name from the off and pretty good drinks service with a good dinner served once again let down by a poor at best choice of movies on the inflight entertainment system thank goodness the latest james bond movie was showing took off and landed on time smooth flight only one letdown the usual extortionate fee charged for prebooking a seat come on ba stop nickel and diming it spoils what could be a really good business class product and after all we already pay quite a bit for the privilege i recommend with the usual caveats,positive
465,Trip Verified,complete and utter chaos at heathrow yet again surely the ceo sean doyle must now take responsibility and step aside for the consistent and continuous it problems that cause flights to be cancelled and delayed the queue for the first wing check in at am today was over hour and subsequent flight to malaga hrs late leaving the gate updated about the delays times but strangely not one person apologised or said sorry ba seems to think this is normal practice nowadays as emerald oneworld i wish there was an alternative because ba has become intolerable and this is after flying them for years since beaboac days,positive
467,Trip Verified,british airways are in the process of upgrading all its fleet to the new club suite but ba had the yrsold packedlikesardines club world product the lounge at cpt was also bursting at the seams and food orders were so behind that many passengers had left by the time their food arrived on boarding we were surprised to find that the menu amenity kit and bottle of water had already been placed in the storage drawer we suspect this is another cynical timesaving initiative on the part of ba frustratingly the menu turned out to be incorrect and the replacement dishes were probably the worst we have ever encountered in any business class on any airline the drinks run was cancelled without any warning on the spurious basis of a passenger with a nut allergy its hard to avoid suspicions that cabin crew were being economical with the truth apart from a rather turbulent ride the flight was otherwise uneventful and arrival was slightly ahead of schedule baggage handling was however atrociously slow,negative
468,Trip Verified,we flew to funchal madeira yesterday madeira has no covid restrictions for entry yet ba asked us to upload our nhs vaccination passes before we could check in online i received an ok about an hour later but my husband did not so i couldn t check in online we arrive at heathrow hours before departure and stood in a long queue for check in there were just desks open for a queue of approx travellers then several people went on breaks or disappeared so we were down to one desk open with the queue barely moving i went to complain to various ba staff who said the manager had been told and more people were coming one blonde lady walked around for ages shepherding travellers into the queue before sitting down at a desk another man later did likewise making us wonder why they hadn t simply worked at the desks from the beginning all in all we stood in that queue for a good hour before almost running to the security queue which thankfully moved quickly then we hurriedly bought a sandwich walked to our departure gate and stood on the bus to the plane the whole experience was extremely stressful and took the best part of hours we did not have time to sit down until we did so on the plane and completely unnecessary if we had been able to check in online this would not have happened my husband s vaccination pass is fine but not required for madeira i think it is a systems failure as he received an email yesterday morning saying his pass was not in order as did i even though i d previously been told i could check in online also unnecessary as if ba had staffed the desks properly the queue would have moved a staff member told us ba had laid off lots of staff during lock down and was now begging them to return but having been treated badly they didn t want to the flight itself was fine on time we were given a bag of crisps and a bottle of water again fine nothing praise worthy,positive
